dates,Code,Volume,Zero,NssZero,DiffZero,Yield,NssYield,DiffYield,dayRet,stdev,skew,pct_chg,month_cum
2022-09-07,210013.IB,926000000,0.0257699365626779,0.0250986538526612,-6.71282710016732,0.025513,0.0248330982686282,-6.7990173137181,0.8987288586760276,1.7733147687960078,-0.2759400793369638,-0.003487509006823264,-2.0609086958459786
2022-09-08,210013.IB,555000000,0.0257728036621765,0.0252681600854363,-5.04643576740155,0.02555,0.0250263384915113,-5.23661508488742,0.028670994986004783,1.7748534354657721,-0.29586203111302856,-0.00011124515346416786,-2.032237700859974
2022-09-09,210013.IB,2802000000,0.025819067399087,0.0254414008891472,-3.77666509939829,0.0256,0.0251848644155046,-4.15135584495373,0.4626373691049915,1.7752234843997445,-0.354055453480023,-0.0017918438414291638,-1.5696003317549825
2022-09-13,210013.IB,1222000000,0.0260350649583571,0.0256042426833987,-4.30822274958453,0.02581,0.0253860506786483,-4.23949321351702,2.15997559270098,1.7250221620717756,-0.5135943891862574,-0.008296409462222765,0.590375260945998
2022-09-14,210013.IB,1613530000,0.0257692264399387,0.0250880704649507,-6.81155974987999,0.02552,0.024824469129762,-6.95530870237996,-2.658385184183994,1.7441766241263672,-0.4259510347136895,0.010316123343399486,-2.068009923237996
2022-09-15,210013.IB,1980430000,0.026069370798413,0.0256595557437795,-4.09815054633431,0.02585,0.0254028360177658,-4.47163982234173,3.0014435847430105,1.8004654918000964,-0.39043684044323795,-0.011513295077017038,0.9334336615050147
2022-09-16,210013.IB,933600000,0.0263185311266853,0.0258821824155584,-4.36348711126928,0.0261,0.0256378073945867,-4.62192605413348,2.4916032827229997,1.8461190403782872,-0.36282023516623413,-0.009467106164586347,3.4250369442280144
2022-09-19,210013.IB,2545380000,0.026323491942374,0.0258086953702016,-5.14796572172405,0.026075,0.0255580204545829,-5.16979545417087,0.04960815688698911,1.84672505768383,-0.3865138043193638,-0.00018845583631377227,3.4746451011150037
2022-09-20,210013.IB,2597000000,0.0260591695508643,0.0257415196295102,-3.17649921354076,0.02585,0.0254930629610106,-3.56937038989414,-2.643223915097005,1.8735789613762581,-0.3302843917846373,0.010143162505381387,0.8314211860179985
2022-09-21,210013.IB,1389500000,0.0260228010226657,0.0256847516377057,-3.38049384960015,0.0258,0.0254331693738645,-3.66830626135479,-0.3636852819859787,1.8615407921014784,-0.3778352642173761,0.001397563935062962,0.4677359040320198
2022-09-22,210013.IB,710000000,0.0259950714534711,0.0255718331059604,-4.23238347510759,0.025775,0.0253111265399108,-4.63873460089199,-0.27729569194601816,1.8598903719820146,-0.40093567801308294,0.001066724099767713,0.19044021208600165
2022-09-23,210013.IB,2340000000,0.026112303142435,0.0257719588028051,-3.40344339629896,0.0259,0.0255198879191968,-3.80112080803206,1.172316889639022,1.8111444040037235,-0.4622744333780828,-0.00448951930147401,1.3627571017250233
2022-09-26,210013.IB,2344400000,0.0265263068496949,0.0260778835490503,-4.48423300644641,0.0263,0.02582014223055,-4.79857769450042,4.140037072598996,1.9132691978544194,-0.291415798891527,-0.015607287874853992,5.502794174324019
2022-09-27,210013.IB,1334400000,0.0265168647887226,0.0261739686151508,-3.42896173571867,0.0263,0.0259159769553179,-3.84023044682113,-0.09442060972301991,1.9132628171634842,-0.2978304766114638,0.0003560775773279179,5.408373564600999
2022-09-28,210013.IB,1361800000,0.0267195936045521,0.0262256025643244,-4.93991040227699,0.0265,0.0259558490581306,-5.44150941869357,2.027288158295004,1.93822444752073,-0.32240259723413683,-0.007587271678973551,7.435661722896003
2022-09-29,210013.IB,2120000000,0.0269184510603846,0.0265175986614887,-4.00852398895916,0.0267,0.0262476532882583,-4.52346711741713,1.9885745583250043,1.9600233346259723,-0.3656987094486908,-0.007387403360855194,9.424236281221008
2022-09-30,210013.IB,1326970000,0.026931020749085,0.0265244888199177,-4.06531929167245,0.0267,0.0262430630557042,-4.5693694429582,0.12569688700399262,1.925580792409185,-0.42642113797483183,-0.0004667364381584216,9.549933168225001
2022-10-10,210013.IB,1212910000,0.0267478385947511,0.026212715886006,-5.35122708745055,0.0265,0.0259286878554551,-5.71312144544898,-1.831821543339003,1.9349297062099824,-0.3476675792925192,0.006848484362016682,-2.1646715177179794
2022-10-11,210013.IB,2498000000,0.0266341752803935,0.0262843311491028,-3.49844131290675,0.0264,0.0259996446252257,-4.00355374774251,-1.1366331435759893,1.9355249280969482,-0.34602022594940046,0.004267574015752285,-3.301304661293969
2022-10-12,210013.IB,890120000,0.0266471658171531,0.0262799741751346,-3.67191642018462,0.026398,0.0259918449059175,-4.06155094082452,0.12990536759599491,1.9342060124676523,-0.3709552230282331,-0.0004875016295818879,-3.171399293697974
2022-10-13,210013.IB,887140000,0.0265153608778725,0.0261610311153897,-3.54329762482751,0.026275,0.0258858134017106,-3.89186598289411,-1.3180493928060046,1.9418998481246033,-0.3316176989582339,0.00497088988860761,-4.489448686503978
2022-10-14,210013.IB,793750000,0.0263132746615347,0.0260764337311318,-2.36840930402882,0.0261,0.0258022095032802,-2.97790496719841,-2.02086216337799,1.9453820388281797,-0.24865923021244696,0.007680010144583527,-6.510310849881968
2022-10-17,210013.IB,440000000,0.0262981521407167,0.0260474071338814,-2.50745006835244,0.026075,0.0257786964020481,-2.96303597951894,-0.15122520817999197,1.928750795918018,-0.29695545081367125,0.0005750411944185352,-6.6615360580619605
2022-10-18,210013.IB,1525000000,0.0262637357075275,0.0258773003087396,-3.86435398787886,0.02605,0.0256209656728533,-4.29034327146676,-0.3441643318919871,1.9001789970447136,-0.34194842240595985,0.0013104165215664931,-7.005700389953947
2022-10-19,210013.IB,2691200000,0.0262631114337937,0.0258773175738187,-3.85793859974962,0.02605,0.0256309414926317,-4.19058507368324,-0.006242737338006676,1.8987531593740323,-0.36239506219398043,2.3769983818366924e-05,-7.011943127291954
2022-10-20,210013.IB,2364810000,0.0263030811819979,0.0260878239852509,-2.15257196747025,0.0261,0.0258057583307059,-2.94241669294138,0.39969748204197325,1.897507332464419,-0.3996290861137441,-0.0015195842619211142,-6.612245645249981
