,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-12-27,-0.0673163865697066,-0.6701625038841262,0.5730384813209202,-0.0673163865697066,-0.0673163865697066,0.04035988639715762,0.04035988639715762,0.04035988639715762,0.04035988639715762,0.04035988639715762,0.04035988639715762,0.0,0.0,0.0,-0.026956500172548976
1,2021-12-28,-0.0718011454290277,-0.6343258968082879,0.5763998019388492,-0.0718011454290277,-0.0718011454290277,-0.018495463997593754,-0.018495463997593754,-0.018495463997593754,-0.018495463997593754,-0.018495463997593754,-0.018495463997593754,0.0,0.0,0.0,-0.09029660942662146
2,2021-12-29,-0.07628590428834879,-0.6736594322466577,0.4918154899746401,-0.07628590428834879,-0.07628590428834879,0.003958967381804899,0.003958967381804899,0.003958967381804899,0.003958967381804899,0.003958967381804899,0.003958967381804899,0.0,0.0,0.0,-0.07232693690654389
3,2021-12-30,-0.08077066314766988,-0.7212712468397272,0.5275745982971461,-0.08077066314766988,-0.08077066314766988,-0.030911492048592795,-0.030911492048592795,-0.030911492048592795,-0.030911492048592795,-0.030911492048592795,-0.030911492048592795,0.0,0.0,0.0,-0.11168215519626268
4,2021-12-31,-0.08525542200699099,-0.73915504347079,0.47188513271688504,-0.08525542200699099,-0.08525542200699099,-0.023438835113216767,-0.023438835113216767,-0.023438835113216767,-0.023438835113216767,-0.023438835113216767,-0.023438835113216767,0.0,0.0,0.0,-0.10869425712020775
5,2022-01-04,-0.10319445744427537,-0.7141879486217337,0.45777337321151057,-0.10319445744427537,-0.10319445744427537,-0.01849546399759724,-0.01849546399759724,-0.01849546399759724,-0.01849546399759724,-0.01849546399759724,-0.01849546399759724,0.0,0.0,0.0,-0.12168992144187261
6,2022-01-05,-0.10767921630359648,-0.697688734111691,0.5232124908966297,-0.10767921630359648,-0.10767921630359648,0.003958967381868643,0.003958967381868643,0.003958967381868643,0.003958967381868643,0.003958967381868643,0.003958967381868643,0.0,0.0,0.0,-0.10372024892172783
7,2022-01-06,-0.11216397516291758,-0.7318831852111769,0.4431697308836238,-0.11216397516291758,-0.11216397516291758,-0.030911492048570906,-0.030911492048570906,-0.030911492048570906,-0.030911492048570906,-0.030911492048570906,-0.030911492048570906,0.0,0.0,0.0,-0.14307546721148848
8,2022-01-07,-0.11664873404139126,-0.7757052428423338,0.429219411777482,-0.11664873404139126,-0.11664873404139126,-0.02343883511309515,-0.02343883511309515,-0.02343883511309515,-0.02343883511309515,-0.02343883511309515,-0.02343883511309515,0.0,0.0,0.0,-0.1400875691544864
9,2022-01-10,-0.13010301067681238,-0.6662032574440787,0.5356590015092719,-0.13010301067681238,-0.13010301067681238,0.040359886397196766,0.040359886397196766,0.040359886397196766,0.040359886397196766,0.040359886397196766,0.040359886397196766,0.0,0.0,0.0,-0.08974312427961562
10,2022-01-11,-0.13458776955528606,-0.775973878478029,0.47677989055407277,-0.13458776955528606,-0.13458776955528606,-0.01849546399763655,-0.01849546399763655,-0.01849546399763655,-0.01849546399763655,-0.01849546399763655,-0.01849546399763655,0.0,0.0,0.0,-0.1530832335529226
11,2022-01-12,-0.13907252843375978,-0.7207218260777959,0.48345313071808466,-0.13907252843375978,-0.13907252843375978,0.0039589673817474035,0.0039589673817474035,0.0039589673817474035,0.0039589673817474035,0.0039589673817474035,0.0039589673817474035,0.0,0.0,0.0,-0.1351135610520124
12,2022-01-13,-0.14355728731223347,-0.7976318191216077,0.4291343277918782,-0.14355728731223347,-0.14355728731223347,-0.030911492048549014,-0.030911492048549014,-0.030911492048549014,-0.030911492048549014,-0.030911492048549014,-0.030911492048549014,0.0,0.0,0.0,-0.17446877936078248
13,2022-01-14,-0.14804204619070718,-0.7759134068144711,0.42854797611189693,-0.14804204619070718,-0.14804204619070718,-0.023438835113320403,-0.023438835113320403,-0.023438835113320403,-0.023438835113320403,-0.023438835113320403,-0.023438835113320403,0.0,0.0,0.0,-0.17148088130402758
14,2022-01-17,-0.16149632282612827,-0.7443152904976005,0.4680458006549595,-0.16149632282612827,-0.16149632282612827,0.04035988639718763,0.04035988639718763,0.04035988639718763,0.04035988639718763,0.04035988639718763,0.04035988639718763,0.0,0.0,0.0,-0.12113643642894065
15,2022-01-18,-0.16598108169986706,-0.7771481728293559,0.4596977091083201,-0.16598108169986706,-0.16598108169986706,-0.018495463997675855,-0.018495463997675855,-0.018495463997675855,-0.018495463997675855,-0.018495463997675855,-0.018495463997675855,0.0,0.0,0.0,-0.1844765456975429
16,2022-01-19,-0.17046584057360586,-0.8142558647126112,0.4344794493973928,-0.17046584057360586,-0.17046584057360586,0.003958967381853513,0.003958967381853513,0.003958967381853513,0.003958967381853513,0.003958967381853513,0.003958967381853513,0.0,0.0,0.0,-0.16650687319175236
17,2022-01-20,-0.17495059944734465,-0.835328426853662,0.4020821818190132,-0.17495059944734465,-0.17495059944734465,-0.030911492048527132,-0.030911492048527132,-0.030911492048527132,-0.030911492048527132,-0.030911492048527132,-0.030911492048527132,0.0,0.0,0.0,-0.20586209149587179
18,2022-01-21,-0.17943535832108345,-0.8280654457427084,0.4562487428599325,-0.17943535832108345,-0.17943535832108345,-0.023438835113198785,-0.023438835113198785,-0.023438835113198785,-0.023438835113198785,-0.023438835113198785,-0.023438835113198785,0.0,0.0,0.0,-0.20287419343428223
